Name,Country,Position,Age,Team_from,Team_to,League_from,Season,Window, Fee ( Euros Mn) , Transfer Rating 
Cheikhou Kouyaté,Senegal,DM,24,RSC Anderlecht,West Ham,Jupiler Pro League,2014-2015,Summer, 7.50 , 7.05 
Robert Snodgrass,Scotland,RW,26,Norwich,Hull,Championship,2014-2015,Summer, 7.50 , 7.08 
Jake Livermore,England,DM,24,Spurs,Hull,Premier League,2014-2015,Summer, 7.00 , 6.73 
Florin Gardos,Romania,CB,25,FCS Bucharest,Southampton,Liga 1,2014-2015,Summer, 6.80 , 5.11 
Dele Alli,England,AM,18,MK Dons,Spurs,League One,2014-2015,Winter, 6.63 , 7.09 
Kyle Naughton,England,RB,26,Spurs,Swansea,Premier League,2014-2015,Winter, 6.60 , 6.68 
Callum McManaman,England,RW,23,Wigan,West Brom,Championship,2014-2015,Winter, 6.35 , 5.41 
Jordon Mutch,England,CM,23,QPR,Palace,Premier League,2014-2015,Winter, 6.34 , 5.37 
Emmanuel Rivière,Martinique,CF,24,Monaco,Newcastle,Ligue 1,2014-2015,Summer, 6.32 , 5.22 
Daryl Janmaat,Netherlands,RB,25,Feyenoord,Newcastle,Eredivisie,2014-2015,Summer, 6.00 , 6.27 
Carlos Sánchez,Columbia,DM,28,Elche CF,Villa,La Liga,2014-2015,Summer, 6.00 , 6.14 
Benjamin Stambouli,France,CB,24,Montpellier,Spurs,Ligue 1,2014-2015,Summer, 5.90 , 5.37 
Michel Vorm,Netherlands,GK,30,Swansea,Spurs,Premier League,2014-2015,Summer, 5.69 , 5.33 
Rickie Lambert,England,CF,32,Southampton,Liverpool,Premier League,2014-2015,Summer, 5.50 , 5.92 
Pape Souaré,Senegal,LB,24,LOSC Lille,Palace,Ligue 1,2014-2015,Winter, 5.33 , 5.17 
Eric Dier,England,DM,20,Sporting CP,Spurs,Liga NOS,2014-2015,Summer, 5.00 , 7.12 
Jefferson Montero,Ecuador,LW,24,Morelia,Swansea,Liga MX Clausura,2014-2015,Summer, 5.00 , 5.44 
Diafra Sakho,Senegal,CF,24,FC Metz,West Ham,Ligue 1,2014-2015,Summer, 5.00 , 6.72 
Karl Darlow,England,GK,23,Nottm Forest,Newcastle,Championship,2014-2015,Summer, 5.00 , 6.31 
Jamaal Lascelles,England,CB,20,Nottm Forest,Newcastle,Championship,2014-2015,Summer, 5.00 , 6.94 
Muhamed Besic,Bosnia,DM,21,Ferencváros,Everton,NB I.,2014-2015,Summer, 4.80 , 5.73 
Aaron Cresswell,England,LB,24,Ipswich,West Ham,Championship,2014-2015,Summer, 4.75 , 7.53 
Mohamed Diamé,Senegal,CM,27,West Ham,Hull,Premier League,2014-2015,Summer, 4.40 , 6.02 
Michael Dawson,England,CB,30,Spurs,Hull,Premier League,2014-2015,Summer, 4.40 , 6.31 
Carles Gil,Spain,RW,22,Valencia CF,Villa,La Liga,2014-2015,Summer, 4.20 , 5.22 
Kevin De Bruyne,Belgium,AM,24,VfL Wolfsburg,City,Bundesliga,2015-2016,Summer, 76.00 , 8.35 
Raheem Sterling,England,RW,20,Liverpool,City,Premier League,2015-2016,Summer, 63.70 , 7.83 
Anthony Martial,France,LW,19,Monaco,United,Ligue 1,2015-2016,Summer, 60.00 , 6.37 
Christian Benteke,Belgium,CF,24,Villa,Liverpool,Premier League,2015-2016,Summer, 46.50 , 6.04 
Nicolás Otamendi,Argentina,CB,27,Valencia CF,City,La Liga,2015-2016,Summer, 44.60 , 7.19 
Roberto Firmino,Brazil,SS,23,TSG Hoffenheim,Liverpool,Bundesliga,2015-2016,Summer, 41.00 , 7.83 
Morgan Schneiderlin,France,DM,25,Southampton,United,Premier League,2015-2016,Summer, 35.00 , 5.23 
Memphis Depay,Netherlands,LW,21,PSV Eindhoven,United,Eredivisie,2015-2016,Summer, 34.00 , 5.24 
Heung-min Son,South Korea,LW,23,Bay. Leverkusen,Spurs,Bundesliga,2015-2016,Summer, 30.00 , 7.95 
Pedro,Spain,LW,28,Barcelona,Chelsea,La Liga,2015-2016,Summer, 27.00 , 7.13 
Giannelli Imbula,DR Congo,DM,23,FC Porto,Stoke,Liga NOS,2015-2016,Winter, 24.25 , 5.33 
Georginio Wijnaldum,Netherlands,CM,24,PSV Eindhoven,Newcastle,Eredivisie,2015-2016,Summer, 20.00 , 7.73 
Abdul Rahman Baba,Ghana,LB,21,FC Augsburg,Chelsea,Bundesliga,2015-2016,Summer, 20.00 , 5.28 
Aleksandar Mitrovic,Serbia,CF,20,RSC Anderlecht,Newcastle,Jupiler Pro League,2015-2016,Summer, 18.50 , 6.02 
Florian Thauvin,France,RW,22,Marseille,Newcastle,Ligue 1,2015-2016,Summer, 18.35 , 5.32 
Matteo Darmian,Italy,RB,25,Torino,United,Serie A,2015-2016,Summer, 18.00 , 5.78 
Oumar Niasse,Senegal,CF,25,Loko Moscow,Everton,Premier Liga,2015-2016,Winter, 17.90 , 5.83 
Nathaniel Clyne,England,RB,24,Southampton,Liverpool,Premier League,2015-2016,Summer, 17.70 , 6.41 
Xherdan Shaqiri,Switzerland,RW,23,Inter,Stoke,Serie A,2015-2016,Summer, 17.00 , 6.51 
José Salomón Rondón,Venezuela,CF,25,Zenit S-Pb,West Brom,Premier Liga,2015-2016,Summer, 17.00 , 6.72 
Toby Alderweireld,Belgium,CB,26,Atlético Madrid,Spurs,La Liga,2015-2016,Summer, 16.00 , 7.44 
Jonjo Shelvey,England,CM,23,Swansea,Newcastle,Premier League,2015-2016,Winter, 16.00 , 6.79 
Andros Townsend,England,RW,24,Spurs,Newcastle,Premier League,2015-2016,Winter, 15.70 , 6.41 
Virgil van Dijk,Netherlands,CB,24,Celtic,Southampton,Premier League,2015-2016,Summer, 15.70 , 7.64 
Dimitri Payet,France,AM,28,Marseille,West Ham,Ligue 1,2015-2016,Summer, 15.00 , 7.30 
Jordy Clasie,Netherlands,DM,24,Feyenoord,Southampton,Eredivisie,2015-2016,Summer, 15.00 , 6.27 
Clinton N'Jie,Cameroon,CF,22,Olympique Lyon,Spurs,Ligue 1,2015-2016,Summer, 14.10 , 5.38 
Petr Cech,Czech Republic,GK,33,Chelsea,Arsenal,Premier League,2015-2016,Summer, 14.00 , 7.01 
Yohan Cabaye,France,CM,29,Paris SG,Palace,Ligue 1,2015-2016,Summer, 13.90 , 6.85 
Benik Afobe,DR Congo,CF,22,Wolves,Bournemouth,Championship,2015-2016,Winter, 13.30 , 6.61 
Ramiro Funes Mori,Argentina,CB,24,River Plate,Everton,Primeria Division,2015-2016,Summer, 12.90 , 6.11 
Mohamed Elneny,Egypt,DM,23,FC Basel,Arsenal,Swiss Super League,2015-2016,Winter, 12.50 , 6.53 
Chancel Mbemba,DR Congo,CB,20,RSC Anderlecht,Newcastle,Jupiler Pro League,2015-2016,Summer, 12.00 , 6.21 
Jordan Ayew,Ghana,CF,23,FC Lorient,Villa,Ligue 1,2015-2016,Summer, 12.00 , 6.53 
Wahbi Khazri,Tunisia,AM,24,G. Bordeaux,Sunderland,Ligue 1,2015-2016,Summer, 11.80 , 6.12 
Fabian Delph,England,CM,25,Villa,City,Premier League,2015-2016,Summer, 11.50 , 6.88 
Jeremain Lens,Netherlands,RW,27,Dynamo Kyiv,Sunderland,Premier Liga,2015-2016,Summer, 11.40 , 5.72 
Tyrone Mings,England,CB,22,Ipswich,Bournemouth,Championship,2015-2016,Summer, 11.30 , 5.64 
James Chester,Wales,CB,26,Hull,West Brom,Championship,2015-2016,Summer, 11.30 , 5.47 
Asmir Begovic,Bosnia,GK,28,Stoke,Chelsea,Premier League,2015-2016,Summer, 11.00 , 5.80 
Angelo Ogbonna,Italy,CB,27,Juventus,West Ham,Serie A,2015-2016,Summer, 11.00 , 7.04 
Shinji Okazaki,Japan,CF,29,FSV Mainz 05,Leicester,Bundesliga,2015-2016,Summer, 11.00 , 6.84 
Steven Naismith,Scotland,RW,29,Everton,Norwich,Premier League,2015-2016,Winter, 11.00 , 5.79 
Jordan Amavi,France,LB,21,OGC Nice,Villa,Ligue 1,2015-2016,Summer, 11.00 , 5.62 
Timm Klose,Switzerland,CB,27,VfL Wolfsburg,Norwich,Bundesliga,2015-2016,Winter, 11.00 , 6.87 
Fabio Borini,Italy,LW,24,Liverpool,Sunderland,Premier League,2015-2016,Summer, 10.70 , 5.43 
Abdoulaye Doucouré,Mali,CM,23,Stade Rennais,Watford,Ligue 1,2015-2016,Winter, 10.60 , 7.18 
Jordan Veretout,France,CM,22,FC Nantes,Villa,Ligue 1,2015-2016,Summer, 10.00 , 5.52 
Max Gradel,Ivory Coast,LW,27,Saint-Étienne,Bournemouth,Ligue 1,2015-2016,Summer, 10.00 , 5.85 
Connor Wickham,England,CF,22,Sunderland,Palace,Premier League,2015-2016,Summer, 10.00 , 6.36 
Adama Traoré,Spain,RW,19,Barcelona B,Villa,La Liga 2,2015-2016,Summer, 10.00 , 5.55 
Robbie Brady,Ireland,LM,23,Hull,Norwich,Championship,2015-2016,Summer, 9.90 , 6.21 
Alberto Paloschi,Italy,CF,26,Chievo Verona,Swansea,Serie A,2015-2016,Winter, 9.50 , 5.63 
Michail Antonio,Jamaica,RW,25,Nottm Forest,West Ham,Championship,2015-2016,Summer, 9.50 , 7.16 
Lewis Grabban,England,CF,28,Norwich,Bournemouth,Premier League,2015-2016,Summer, 9.35 , 5.24 
Bastian Schweinsteiger,Germany,CM,30,Bayern Munich ,United,Bundesliga,2015-2016,Summer, 9.00 , 6.05 
Idrissa Gueye,Senegal,CM,25,LOSC Lille,Villa,Ligue 1,2015-2016,Summer, 9.00 , 6.77 
N'Golo Kanté,France,DM,24,SM Caen,Leicester,Ligue 1,2015-2016,Summer, 9.00 , 8.02 
Étienne Capoue,France,DM,27,Spurs,Watford,Premier League,2015-2016,Summer, 8.90 , 6.35 
José Manuel Jurado,Spain,AM,29,Spartak Moscow,Watford,Premier Liga,2015-2016,Summer, 8.60 , 5.22 
Rudy Gestede,Benin Republic,CF,26,Blackburn,Villa,Championship,2015-2016,Summer, 8.50 , 6.02 
Nordin Amrabat,Morocco,LW,28,Málaga CF,Watford,La Liga,2015-2016,Winter, 8.40 , 5.38 
Danny Ings,England,CF,22,Burnley,Liverpool,Championship,2015-2016,Summer, 8.30 , 5.27 
Jonny Evans,Northern Ireland,CB,27,United,West Brom,Premier League,2015-2016,Summer, 8.30 , 6.14 
Joselu,Spain,CF,25,Hannover 96,Stoke,Bundesliga,2015-2016,Summer, 8.00 , 6.07 
Kenedy,Brazil,LM,19,Fluminense,Chelsea,Série A,2015-2016,Summer, 8.00 , 5.55 
Cédric Soares,Portugal,RB,23,Sporting CP,Southampton,Liga NOS,2015-2016,Summer, 7.00 , 6.85 
Gökhan Inler,Switzerland,DM,31,SSC Napoli,Leicester,Serie A,2015-2016,Summer, 7.00 , 6.01 
Juanmi,Spain,RW,22,Málaga CF,Southampton,La Liga,2015-2016,Summer, 7.00 , 5.30 
Marko Grujic,Serbia,CM,19,Red Star Belgrade,Liverpool,SuperLiga,2015-2016,Summer, 7.00 , 5.43 
Oriol Romeu,Spain,DM,23,Chelsea,Southampton,Premier League,2015-2016,Summer, 7.00 , 7.11 
Yohan Benalouane,Tunisia,CB,28,Atalanta,Leicester,Serie A,2015-2016,Summer, 7.00 , 5.22 
Éder,Portugal,CF,27,Braga,Swansea,Liga NOS,2015-2016,Summer, 6.70 , 5.24 
Daniel Amartey,Ghana,DM,21,FC Copenhagen,Leicester,Superligaen,2015-2016,Winter, 6.60 , 6.57 
Steven Berghuis,Netherlands,RW,23,AZ Alkmaar,Watford,Eredivisie,2015-2016,Summer, 6.50 , 5.48 
Lamine Koné,Ivory Coast,CB,27,FC Lorient,Sunderland,Ligue 1,2015-2016,Winter, 6.50 , 6.22 
Aaron Lennon,England,RW,28,Spurs,Everton,Premier League,2015-2016,Summer, 6.00 , 6.04 
Pedro Obiang,Equatorial Guinea,CM,23,Sampdoria,West Ham,Serie A,2015-2016,Summer, 6.00 , 6.77 
Kevin Wimmer,Austria,CB,22,1. FC Köln,Spurs,Bundesliga,2015-2016,Summer, 6.00 , 5.30 
Gerard Deulofeu,Spain,RW,21,Barcelona,Everton,La Liga,2015-2016,Summer, 6.00 , 6.14 
Paul Pogba,France,CM,23,Juventus,United,Serie A,2016-2017,Summer, 105.00 , 7.02 
John Stones,England,CB,22,Everton,City,Premier League,2016-2017,Summer, 55.60 , 8.01 
Leroy Sané,Germany,LW,20,FC Schalke 04,City,Bundesliga,2016-2017,Summer, 50.50 , 7.84 
Granit Xhaka,Switzerland,DM,23,Bor. M'gladbach,Arsenal,Bundesliga,2016-2017,Summer, 45.00 , 7.09 
Henrikh Mkhitaryan,Armenia,AM,27,Bor. Dortmund,United,Bundesliga,2016-2017,Summer, 42.00 , 6.01 
Sadio Mané,Senegal,LW,24,Southampton,Liverpool,Premier League,2016-2017,Summer, 41.20 , 8.25 
Shkodran Mustafi,Germany,CB,24,Valencia CF,Arsenal,La Liga,2016-2017,Summer, 41.00 , 6.70 
Michy Batshuayi,Belgium,CF,22,Marseille,Chelsea,Ligue 1,2016-2017,Summer, 39.00 , 6.64 
Eric Bailly,Ivory Coast,CB,22,Villarreal,United,La Liga,2016-2017,Summer, 38.00 , 6.21 
N'Golo Kanté,France,DM,25,Leicester,Chelsea,Premier League,2016-2017,Summer, 35.80 , 8.01 
David Luiz,Brazil,CB,29,Paris SG,Chelsea,Ligue 1,2016-2017,Summer, 35.00 , 7.16 
Moussa Sissoko,France,CM,27,Newcastle,Spurs,Championship,2016-2017,Summer, 35.00 , 6.97 
Gabriel Jesus,Brazil,CF,19,Palmeiras,City,Série A,2016-2017,Summer, 32.00 , 7.62 
Christian Benteke,Belguim,CF,25,Liverpool,Palace,Premier League,2016-2017,Summer, 31.20 , 6.95 
Islam Slimani,Algeria,CF,28,Sporting CP,Leicester,Liga NOS,2016-2017,Summer, 30.50 , 5.51 
Yannick Bolasie,DR Congo,LW,27,Palace,Everton,Premier League,2016-2017,Summer, 28.90 , 5.20 
Georginio Wijnaldum,Netherlands,CM,25,Newcastle,Liverpool,Championship,2016-2017,Summer, 27.50 , 7.52 
Ilkay Gündogan,Germany,CM,25,Bor. Dortmund,City,Bundesliga,2016-2017,Summer, 27.00 , 8.07 
André Ayew,Ghana,LW,26,Swansea,West Ham,Premier League,2016-2017,Summer, 24.10 , 6.04 
Marcos Alonso,Spain,LB,25,Fiorentina,Chelsea,Serie A,2016-2017,Summer, 23.00 , 7.77 
Morgan Schneiderlin,France,DM,27,United,Everton,Premier League,2016-2017,Winter, 22.90 , 5.60 
Vincent Janssen,Netherlands,CF,22,AZ Alkmaar,Spurs,Eredivisie,2016-2017,Summer, 22.10 , 5.31 
Didier Ndong,Gabon,CM,22,FC Lorient,Sunderland,Rel. Ligue 1,2016-2017,Summer, 20.00 , 5.65 
Ahmed Musa,Nigeria,CF,23,CSKA Moscow,Leicester,Premier Liga,2016-2017,Summer, 19.50 , 5.48 
Sofiane Boufal,Morocco,AM,22,LOSC Lille,Southampton,Ligue 1,2016-2017,Summer, 18.70 , 5.37 
Claudio Bravo,Chile,GK,33,Barcelona,City,La Liga,2016-2017,Summer, 18.00 , 6.16 
Nolito,Spain,LW,29,Celta de Vigo,City,La Liga,2016-2017,Summer, 18.00 , 6.08 
Jordon Ibe,England,RW,20,Liverpool,Bournemouth,Premier League,2016-2017,Summer, 18.00 , 5.68 
Borja Bastón,Spain,CF,23,Atlético Madrid,Swansea,La Liga,2016-2017,Summer, 18.00 , 6.19 
Wilfred Ndidi,Nigeria,DM,20,KRC Genk,Leicester,Jupiler Pro League,2016-2017,Winter, 17.60 , 7.01 
Manolo Gabbiadini,Italy,CF,25,SSC Napoli,Southampton,Serie A,2016-2017,Winter, 17.00 , 6.40 
Andros Townsend,England,RW,24,Newcastle,Palace,Championship,2016-2017,Summer, 15.60 , 6.88 
Joe Allen,Wales,CM,26,Liverpool,Stoke,Premier League,2016-2017,Summer, 15.50 , 6.72 
Nampalys Mendy,Senegal,DM,24,OGC Nice,Leicester,Ligue 1,2016-2017,Summer, 15.50 , 5.87 
Ryan Mason,England,CM,25,Spurs,Hull,Premier League,2016-2017,Summer, 15.40 , 6.05 
Nacer Chadli,Belgium,LW,27,Spurs,West Brom,Premier League,2016-2017,Summer, 15.20 , 5.92 
Robbie Brady,Ireland,LM,25,Norwich,Burnley,Championship,2016-2017,Winter, 15.10 , 6.70 
Luka Milivojevic,Serbia,DM,25,Olympiacos,Palace,Super League,2016-2017,Winter, 15.10 , 6.92 
Pierre-Emile Höjbjerg,Denmark,CM,20,Bayern Munich ,Southampton,Bundesliga,2016-2017,Summer, 15.00 , 7.18 
Isaac Success,Nigeria,LW,20,Granada CF,Watford,La Liga,2016-2017,Summer, 15.00 , 5.22 
Victor Wanyama,Kenya,DM,25,Southampton,Spurs,Premier League,2016-2017,Summer, 14.40 , 5.82 
Lucas Pérez,Spain,CF,27,Deportivo,Arsenal,La Liga,2016-2017,Summer, 14.00 , 5.41 
Ashley Williams,Wales,CB,31,Swansea,Everton,Premier League,2016-2017,Summer, 14.00 , 5.57 
Saido Berahino,Burundi,CF,23,West Brom,Stoke,Premier League,2016-2017,Winter, 13.90 , 5.42 
Jeffrey Schlupp,Ghana,LB,24,Leicester,Palace,Premier League,2016-2017,Winter, 13.80 , 6.48 
Nathan Redmond,England,LW,22,Norwich,Southampton,Championship,2016-2017,Summer, 13.50 , 6.39 
Roberto Pereyra,Argentina,AM,25,Juventus,Watford,Serie A,2016-2017,Summer, 13.00 , 6.16 
Manuel Lanzini,Argentina,AM,23,Al-Jazira,West Ham,UAE Gulf League,2016-2017,Summer, 12.00 , 6.77 
Robert Snodgrass,Scotland,RW,29,Hull,West Ham,Premier League,2016-2017,Winter, 12.00 , 6.02 
Jeff Hendrick,Ireland,CM,24,Derby,Burnley,Championship,2016-2017,Summer, 11.80 , 6.47 
James Tompkins,England,CB,27,West Ham,Palace,Premier League,2016-2017,Summer, 11.70 , 6.60 
Jake Livermore,England,DM,27,Hull,West Brom,Premier League,2016-2017,Winter, 11.50 , 6.82 
Georges-Kevin N'Koudou,Cameroon,LW,21,Marseille,Spurs,Ligue 1,2016-2017,Summer, 11.00 , 5.19 
Patrick van Aanholt,Netherlands,LB,26,Sunderland,Palace,Premier League,2016-2017,Winter, 10.50 , 7.00 
Marten de Roon,Netherlands,CM,25,Atalanta,Middlesbrough,Serie A,2016-2017,Summer, 10.50 , 6.88 
Papy Djilobodji,Senegal,CB,27,Chelsea,Sunderland,Premier League,2016-2017,Summer, 9.50 , 5.29 
José Fonte,Portugal,CB,33,Southampton,West Ham,Premier League,2016-2017,Summer, 9.20 , 5.35 
Kamil Grosicki,Poland,RW,28,Stade Rennais,Hull,Ligue 1,2016-2017,Winter, 9.00 , 7.03 
Daryl Janmaat,Netherlands,RB,27,Newcastle,Watford,Championship,2016-2017,Summer, 8.90 , 6.22 
Ademola Lookman,Nigeria,LW,19,Charlton,Everton,League One,2016-2017,Winter, 8.80 , 5.37 
Steven Defour,Belgium,CM,28,RSC Anderlecht,Burnley,Jupiler Pro League,2016-2017,Summer, 8.60 , 5.41 
Idrissa Gueye,Senegal,CM,26,Villa,Everton,Championship,2016-2017,Summer, 8.50 , 7.02 
Adama Traoré,Spain,RW,20,Villa,Middlesbrough,Championship,2016-2017,Summer, 8.25 , 6.91 
Rudy Gestede,Benin Republic,CF,28,Villa,Middlesbrough,Championship,2016-2017,Winter, 7.10 , 5.20 
Arthur Masuaku,DR Congo,LB,22,Olympiacos,West Ham,Super League,2016-2017,Summer, 7.10 , 6.08 
Lewis Cook,England,CM,19,Leeds,Bournemouth,Championship,2016-2017,Summer, 7.00 , 6.25 
Christian Kabasele,Belgium,CB,25,KRC Genk,Watford,Jupiler Pro League,2016-2017,Summer, 6.95 , 6.82 
Patrick Bamford,England,CF,23,Chelsea,Middlesbrough,Premier League,2016-2017,Winter, 6.90 , 6.85 
Matt Phillips,Scotland,RW,25,QPR,West Brom,Championship,2016-2017,Summer, 6.50 , 6.11 
Lys Mousset,France,CF,20,AC Le Havre,Bournemouth,Ligue 2,2016-2017,Summer, 6.50 , 5.42 
Edimilson Fernandes,Switzerland,CM,20,FC Sion,West Ham,Swiss Super League,2016-2017,Summer, 6.40 , 5.70 
Loris Karius,Germany,GK,23,FSV Mainz 05,Liverpool,Bundesliga,2016-2017,Summer, 6.20 , 6.22 
Romelu Lukaku,Belgium,CF,24,Everton,United,Premier League,2017-2018,Summer, 84.70 , 6.83 
Virgil van Dijk,Netherlands,CB,26,Southampton,Liverpool,Premier League,2017-2018,Winter, 78.80 , 8.06 
Álvaro Morata,Spain,CF,24,Real Madrid,Chelsea,La Liga,2017-2018,Summer, 66.00 , 6.01 
Aymeric Laporte,Spain,CB,23,Athletic Bilbao,City,La Liga,2017-2018,Winter, 65.00 , 7.85 
Pierre-Emerick Aubameyang,Gabon,CF,28,Bor. Dortmund,Arsenal,Bundesliga,2017-2018,Winter, 63.75 , 7.79 
Benjamin Mendy,France,LB,23,Monaco,City,Ligue 1,2017-2018,Summer, 57.50 , 6.58 
Alexandre Lacazette,France,CF,26,Olympique Lyon,Arsenal,Ligue 1,2017-2018,Summer, 53.00 , 7.39 
Kyle Walker,England,RB,27,Spurs,City,Premier League,2017-2018,Summer, 52.70 , 8.00 
Bernardo Silva,Portugal,RW,22,Monaco,City,Ligue 1,2017-2018,Summer, 50.00 , 7.92 
Gylfi Sigurdsson,Iceland,AM,27,Swansea,Everton,Premier League,2017-2018,Summer, 49.40 , 7.12 
Nemanja Matic,Serbia,DM,29,Chelsea,United,Premier League,2017-2018,Summer, 44.70 , 6.96 
Mohamed Salah,Egypt,RW,25,AS Roma,Liverpool,Serie A,2017-2018,Summer, 42.00 , 8.19 
Ederson,Brazil,GK,23,Benfica,City,Liga NOS,2017-2018,Summer, 40.00 , 7.89 
Tiemoué Bakayoko,France,DM,22,Monaco,Chelsea,Ligue 1,2017-2018,Summer, 40.00 , 5.18 
Davinson Sánchez,Columbia,CB,21,AFC Ajax,Spurs,Eredivisie,2017-2018,Summer, 40.00 , 6.77 
Alex Oxlade-Chamberlain,England,RM,24,Arsenal,Liverpool,Premier League,2017-2018,Summer, 38.00 , 6.82 
Danny Drinkwater,England,CM,27,Leicester,Chelsea,Premier League,2017-2018,Summer, 37.90 , 5.27 
Antonio Rüdiger,Germany,CB,24,AS Roma,Chelsea,Serie A,2017-2018,Summer, 35.00 , 7.82 
Victor Lindelöf,Sweden,CB,22,Benfica,United,Liga NOS,2017-2018,Summer, 35.00 , 6.98 
Danilo,Brazil,RB,26,Real Madrid,City,La Liga,2017-2018,Summer, 30.00 , 6.38 
Michael Keane,England,CB,24,Burnley,Everton,Premier League,2017-2018,Summer, 28.50 , 7.06 
Jordan Pickford,England,GK,23,Sunderland,Everton,Championship,2017-2018,Summer, 28.50 , 7.08 
Lucas Moura,Brazil,RW,25,Paris SG,Spurs,Ligue 1,2017-2018,Winter, 28.40 , 6.72 
Mamadou Sakho,France,CB,27,Liverpool,Palace,Premier League,2017-2018,Summer, 28.20 , 6.29 
Kelechi Iheanacho,Nigeria,CF,20,City,Leicester,Premier League,2017-2018,Summer, 27.70 , 6.57 
Davy Klaassen,Netherlands,AM,24,AFC Ajax,Everton,Eredivisie,2017-2018,Summer, 27.00 , 5.28 
Serge Aurier,Ivory Coast,RB,24,Paris SG,Spurs,Ligue 1,2017-2018,Summer, 25.00 , 6.43 
Davide Zappacosta,Italy,RB,25,Torino,Chelsea,Serie A,2017-2018,Summer, 25.00 , 5.61 
Adrien Silva,Portugal,CM,28,Sporting CP,Leicester,Liga NOS,2017-2018,Summer, 24.50 , 5.47 
André Ayew,Ghana,LW,28,West Ham,Swansea,Premier League,2017-2018,Summer, 22.80 , 5.70 
Nathan Aké,Netherlands,CB,22,Chelsea,Bournemouth,Premier League,2017-2018,Summer, 22.80 , 7.06 
Theo Walcott,England,RW,28,Arsenal,Everton,Premier League,2017-2018,Winter, 22.50 , 5.75 
Cenk Tosun,Turkey,CF,26,Besiktas,Everton,Super Lig,2017-2018,Winter, 22.50 , 5.48 
Marko Arnautovic,Austria,LW,28,Stoke,West Ham,Premier League,2017-2018,Summer, 22.30 , 7.00 
Andre Gray,Jamaica,CF,26,Burnley,Watford,Premier League,2017-2018,Summer, 20.40 , 6.56 
Emerson,Italy,LB,23,AS Roma,Chelsea,Serie A,2017-2018,Winter, 20.00 , 5.72 
Kevin Wimmer,Austria,CB,24,Spurs,Stoke,Premier League,2017-2018,Summer, 19.40 , 5.30 
Chicharito,Mexico,CF,29,Bay. Leverkusen,West Ham,Bundesliga,2017-2018,Summer, 17.80 , 6.88 
Olivier Giroud,France,CF,31,Arsenal,Chelsea,Premier League,2017-2018,Winter, 17.00 , 7.19 
Jürgen Locadia,Curacao,CF,24,PSV Eindhoven,Brighton,Eredivisie,2017-2018,Winter, 17.00 , 5.27 
Mario Lemina,Gabon,DM,23,Juventus,Southampton,Serie A,2017-2018,Summer, 17.00 , 5.36 
Ross Barkley,England,AM,24,Everton,Chelsea,Premier League,2017-2018,Winter, 16.90 , 5.33 
Wesley Hoedt,Netherlands,CB,23,Lazio,Southampton,Serie A,2017-2018,Summer, 16.40 , 5.70 
Chris Wood,New Zealand,CF,25,Leeds,Burnley,Championship,2017-2018,Summer, 16.40 , 7.03 
Sam Clucas,England,LM,26,Hull,Swansea,Championship,2017-2018,Summer, 16.30 , 5.27 
Badou Ndiaye,Senegal,CM,27,Galatasaray,Stoke,Super Lig,2017-2018,Summer, 16.00 , 5.30 
Oliver Burke,Scotland,RW,20,RB Leipzig,West Brom,Bundesliga,2017-2018,Summer, 15.20 , 5.32 
Fernando Llorente,Spain,CF,32,Swansea,Spurs,Premier League,2017-2018,Summer, 15.10 , 5.62 
José Izquierdo,Columbia,LW,25,Club Brugge,Brighton,Jupiler Pro League,2017-2018,Summer, 15.00 , 6.07 
Vicente Iborra,Spain,DM,29,Sevilla,Leicester,La Liga,2017-2018,Summer, 15.00 , 5.42 
Jay Rodríguez,England,CF,27,Southampton,West Brom,Premier League,2017-2018,Summer, 13.70 , 7.02 
Harry Maguire,England,CB,24,Hull,Leicester,Championship,2017-2018,Summer, 13.70 , 7.32 
Wilfried Bony,Ivory Coast,CF,28,City,Swansea,Premier League,2017-2018,Summer, 13.00 , 5.41 
Davy Pröpper,Netherlands,CM,25,PSV Eindhoven,Brighton,Eredivisie,2017-2018,Summer, 13.00 , 5.92 
Steve Mounié,Benin Republic,CF,22,Montpellier,Huddersfield,Ligue 1,2017-2018,Summer, 13.00 , 6.00 
Juan Foyth,Argentina,CB,19,Estudiantes,Spurs,Primeria Division,2017-2018,Summer, 13.00 , 5.48 
Roque Mesa,Spain,CM,28,UD Las Palmas,Swansea,La Liga,2017-2018,Summer, 12.50 , 5.39 
Richarlison,Brazil,LW,20,Fluminense,Watford,Série A,2017-2018,Winter, 12.40 , 6.52 
Alex Pritchard,England,AM,24,Norwich,Huddersfield,Championship,2017-2018,Winter, 12.35 , 6.04 
Asmir Begovic,Bosnia & Herzegovina,GK,30,Chelsea,Bournemouth,Premier League,2017-2018,Summer, 11.50 , 6.01 
Jacob Murphy,England,RW,22,Norwich,Newcastle,Championship,2017-2018,Summer, 11.30 , 6.78 
Nikola Vlasic,Croatia,AM,19,Hajduk Split,Everton,HNL,2017-2018,Summer, 10.80 , 5.39 
Florian Lejeune,France,CB,26,SD Eibar,Newcastle,La Liga,2017-2018,Summer, 10.00 , 5.47 
Tom Cleverley,England,CM,27,Everton,Watford,Premier League,2017-2018,Summer, 9.30 , 6.17 
Will Hughes,England,CM,22,Derby,Watford,Championship,2017-2018,Summer, 9.10 , 6.22 
Tom Ince,England,RW,25,Derby,Huddersfield,Championship,2017-2018,Summer, 9.10 , 5.39 
